层级1,层级2,层级3
Paper,Paper/The Hidden Convex Optimizati,
Paper,Paper/Fine-Tuning can Distort Pret,
Paper,Paper/Neural Structured Prediction,
Paper,Paper/Efficiently Modeling Long Se,
Paper,Paper/Neural Collapse Under MSE Lo,
Paper,Paper/Weighted Training for Cross-,
Paper,Paper/Sparse Communication via Mix,
Paper,Paper/Filtered-CoPhy: Unsupervised,
Paper,Paper/Language modeling via stocha,
Paper,Paper/Expressiveness and Approxima,
Paper,Paper/Non-Transferable Learning: A,
Paper,Paper/Representational Continuity ,
Paper,Paper/Open-Set Recognition: A Good,
Paper,Paper/StyleAlign: Analysis and App,
Paper,Paper/Coordination Among Neural Mo,
Paper,Paper/Einops: Clear and Reliable T,
Paper,Paper/Meta-Learning with Fewer Tas,
Paper,Paper/BEiT: BERT Pre-Training of I,
Paper,Paper/Variational Inference for Di,
Paper,Paper/IAG: Induction-Augmented Gen,
Paper,Paper/Absolute Position Embedding ,
Paper,Paper/Chinese Lexical Substitution,
Paper,Paper/Decoding the Silent Majority,
Paper,Paper/Fine-grained Conversational ,
Paper,Paper/Holistic Inter-Annotator Agr,
Paper,Paper/PHD: Pixel-Based Language Mo,
Paper,Paper/Primacy Effect of ChatGPT,
Paper,Paper/Evaluating the Rationale Und,
Paper,Paper/Evaluating and Modeling Attr,
Paper,Paper/Better Quality Pre-training ,
Author,Author/Yifei Wang,
Author,Author/Jonathan Lacotte,
Author,Author/Mert Pilanci,
Author,Author/Ananya Kumar,
Author,Author/Aditi Raghunathan,
Author,Author/Robbie Jones,
Author,Author/Tengyu Ma,
Author,Author/Percy Liang,
Author,Author/Meng Qu,
Author,Author/Huiyu Cai,
Author,Author/Jian Tang,
Author,Author/Albert Gu,
Author,Author/Karan Goel,
Author,Author/Christopher Re,
Author,Author/X.Y. Han,
Author,Author/Vardan Papyan,
Author,Author/David Donoho,
Author,Author/Shuxiao Chen,
Author,Author/Koby Crammer,
Author,Author/Hangfeng He,
Author,Author/Dan Roth,
Author,Author/Weijie J Su,
Author,Author/António Farinhas,
Author,Author/Wilker Aziz,
Author,Author/Vlad Niculae,
Author,Author/Andre Martins,
Author,Author/Steeven Janny,
Author,Author/Fabien Baradel,
Author,Author/Natalia Neverova,
Author,Author/Madiha Nadri,
Venue,Venue/ICLR,
Venue,Venue/EMNLP,
Venue,Venue/ICCV,
Venue,Venue/ICML,
Venue,Venue/IJCAI,
Venue,Venue/ECCV,
Keyword,Keyword/convex,
Keyword,Keyword/landscape,
Keyword,Keyword/neural,
Keyword,Keyword/optimization,
Keyword,Keyword/relu,
Keyword,Keyword/optimal,
Keyword,Keyword/tuning,
Keyword,Keyword/fine,
Keyword,Keyword/probing,
Keyword,Keyword/ood,
Keyword,Keyword/pretrained,
Keyword,Keyword/linear,
Keyword,Keyword/node,
Keyword,Keyword/structured,
Keyword,Keyword/crfs,
Keyword,Keyword/spn,
Keyword,Keyword/inductive,
Keyword,Keyword/gnns,
Keyword,Keyword/ssm,
Keyword,Keyword/modeling,
Keyword,Keyword/long,
Keyword,Keyword/dependencies,
Keyword,Keyword/sequences,
Keyword,Keyword/sequence,
Keyword,Keyword/mse,
Keyword,Keyword/neuralcollapse,
Keyword,Keyword/loss,
Keyword,Keyword/classifier,
Keyword,Keyword/collapse,
Keyword,Keyword/colab,
Subject,Subject/ICLR.2022 - Oral,
Subject,Subject/EMNLP.2023 - Main,
Subject,Subject/ICCV.2023 - Award,
Subject,Subject/ICCV.2023 - Accept,
Subject,Subject/ICML.2023 - Oral,
Subject,Subject/IJCAI.2023 - AI Ethics, Trus,
Subject,Subject/ECCV.2024 - Oral,
Subject,Subject/ICLR.2022 - Spotlight,
Year,Year/2022,
Year,Year/2023,
Year,Year/2024,
